nodes;channels;topology;policy;TSR;ASD_s;LLR;DP
4;2;full;dummy;1.0;0.0;0.0;0.0
4;2;line;dummy;1.0;0.0;0.0;0.0
4;2;ring;dummy;1.0;0.0;0.0;0.0
4;2;star;dummy;1.0;0.0;0.0;0.0
4;8;full;dummy;1.0;0.0;0.0;0.0
4;8;line;dummy;1.0;0.0;0.0;0.0
4;8;ring;dummy;1.0;0.0;0.0;0.0
4;8;star;dummy;1.0;0.0;0.0;0.0
4;14;full;dummy;1.0;0.0;0.0;0.0
4;14;line;dummy;1.0;0.0;0.0;0.0
4;14;ring;dummy;1.0;0.0;0.0;0.0
4;14;star;dummy;1.0;0.0;0.0;0.0
4;20;full;dummy;1.0;0.0;0.0;0.0
4;20;line;dummy;1.0;0.0;0.0;0.0
4;20;ring;dummy;1.0;0.0;0.0;0.0
4;20;star;dummy;1.0;0.0;0.0;0.0
6;2;full;dummy;1.0;0.0;0.0;0.0
6;2;line;dummy;1.0;0.0;0.0;0.0
6;2;ring;dummy;1.0;0.0;0.0;0.0
6;2;star;dummy;1.0;0.0;0.0;0.0
6;8;full;dummy;1.0;0.0;0.0;0.0
6;8;line;dummy;1.0;0.0;0.0;0.0
6;8;ring;dummy;1.0;0.0;0.0;0.0
6;8;star;dummy;1.0;0.0;0.0;0.0
6;14;full;dummy;1.0;0.0;0.0;0.0
6;14;line;dummy;1.0;0.0;0.0;0.0
6;14;ring;dummy;1.0;0.0;0.0;0.0
6;14;star;dummy;1.0;0.0;0.0;0.0
6;20;full;dummy;1.0;0.0;0.0;0.0
6;20;line;dummy;1.0;0.0;0.0;0.0
6;20;ring;dummy;1.0;0.0;0.0;0.0
6;20;star;dummy;1.0;0.0;0.0;0.0
8;2;full;dummy;1.0;0.0;0.0;0.0
8;2;line;dummy;1.0;0.0;0.0;0.0
8;2;ring;dummy;1.0;0.0;0.0;0.0
8;2;star;dummy;1.0;0.0;0.0;0.0
8;8;full;dummy;1.0;0.0;0.0;0.0
8;8;line;dummy;1.0;0.0;0.0;0.0
8;8;ring;dummy;1.0;0.0;0.0;0.0
8;8;star;dummy;1.0;0.0;0.0;0.0
8;14;full;dummy;1.0;0.0;0.0;0.0
8;14;line;dummy;1.0;0.0;0.0;0.0
8;14;ring;dummy;1.0;0.0;0.0;0.0
